"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2019",5.160027,
"AUT","HUR","TOT","PC_LF","A","2019",4.508333,
"BEL","HUR","TOT","PC_LF","A","2019",5.366667,
"CAN","HUR","TOT","PC_LF","A","2019",5.658333,
"CZE","HUR","TOT","PC_LF","A","2019",2.016667,
"DNK","HUR","TOT","PC_LF","A","2019",5.058333,
"FIN","HUR","TOT","PC_LF","A","2019",6.691667,
"FRA","HUR","TOT","PC_LF","A","2019",8.45,
"DEU","HUR","TOT","PC_LF","A","2019",3.15,
"GRC","HUR","TOT","PC_LF","A","2019",17.33333,
"HUN","HUR","TOT","PC_LF","A","2019",3.45,
"ISL","HUR","TOT","PC_LF","A","2019",3.541667,
"IRL","HUR","TOT","PC_LF","A","2019",4.975,
"ITA","HUR","TOT","PC_LF","A","2019",9.966666,
"JPN","HUR","TOT","PC_LF","A","2019",2.35,
"KOR","HUR","TOT","PC_LF","A","2019",3.783333,
"LUX","HUR","TOT","PC_LF","A","2019",5.591667,
"MEX","HUR","TOT","PC_LF","A","2019",3.49458,
"NLD","HUR","TOT","PC_LF","A","2019",3.4,
"NZL","HUR","TOT","PC_LF","A","2019",4.1,
"NOR","HUR","TOT","PC_LF","A","2019",3.7,
"POL","HUR","TOT","PC_LF","A","2019",3.283333,
"PRT","HUR","TOT","PC_LF","A","2019",6.55,
"SVK","HUR","TOT","PC_LF","A","2019",5.766667,
"ESP","HUR","TOT","PC_LF","A","2019",14.10833,
"SWE","HUR","TOT","PC_LF","A","2019",6.766667,
"CHE","HUR","TOT","PC_LF","A","2019",4.394452,
"TUR","HUR","TOT","PC_LF","A","2019",13.7,
"GBR","HUR","TOT","PC_LF","A","2019",3.766667,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
"CHL","HUR","TOT","PC_LF","A","2019",7.22264,
"EST","HUR","TOT","PC_LF","A","2019",4.4,
"ISR","HUR","TOT","PC_LF","A","2019",3.8,
"SVN","HUR","TOT","PC_LF","A","2019",4.45,
"EU28","HUR","TOT","PC_LF","A","2019",6.325,
"OECD","HUR","TOT","PC_LF","A","2019",5.389224,"E"
"G-7","HUR","TOT","PC_LF","A","2019",4.279713,"E"
"EA19","HUR","TOT","PC_LF","A","2019",7.566667,
"LVA","HUR","TOT","PC_LF","A","2019",6.333333,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"COL","HUR","TOT","PC_LF","A","2019",10.545,
"EU27_2020","HUR","TOT","PC_LF","A","2019",6.716667,
